"cat_num","Latitude","Longitude","quality","link","num_sylables","trill_length","num_harmonics","skip_notes"
532680791,39.3297166,-82.3486662,3,"https://macaulaylibrary.org/asset/532680791","","","",""
532680731,39.3297166,-82.3486662,5,"https://macaulaylibrary.org/asset/532680731","","","",""
532680741,39.3297166,-82.3486662,3,"https://macaulaylibrary.org/asset/532680741","","","",""
532680721,39.3297166,-82.3486662,4,"https://macaulaylibrary.org/asset/532680721","","","",""
532680711,39.3297166,-82.3486662,4,"https://macaulaylibrary.org/asset/532680711","","","",""
520867961,43.647308,-70.865283,3,"https://macaulaylibrary.org/asset/520867961","","","",""
511651301,38.6455061,-77.2361183,3,"https://macaulaylibrary.org/asset/511651301","","","",""
510538621,41.4355842,-71.6682816,3,"https://macaulaylibrary.org/asset/510538621","","","",""
492010421,41.3616071,-75.0262356,3,"https://macaulaylibrary.org/asset/492010421","","","",""
481160081,41.4355842,-71.6682816,3,"https://macaulaylibrary.org/asset/481160081","","","",""
481158721,41.4355842,-71.6682816,3,"https://macaulaylibrary.org/asset/481158721","","","",""
476805291,43.9559559,-89.8181339,3,"https://macaulaylibrary.org/asset/476805291","","","",""
468074411,34.9064342,-84.3418479,3,"https://macaulaylibrary.org/asset/468074411","","","",""
467791111,40.9955955,-72.0642866,4,"https://macaulaylibrary.org/asset/467791111","","","",""
466958711,38.8678252,-92.3256795,5,"https://macaulaylibrary.org/asset/466958711","","","",""
466958701,38.8678252,-92.3256795,3,"https://macaulaylibrary.org/asset/466958701","","","",""
466702501,43.8806651,-70.8004395,4,"https://macaulaylibrary.org/asset/466702501","","","",""
466700421,43.8806651,-70.8004395,5,"https://macaulaylibrary.org/asset/466700421","","","",""
466064351,41.0359237,-72.1389771,3,"https://macaulaylibrary.org/asset/466064351","","","",""
466063711,41.0359237,-72.1389771,4,"https://macaulaylibrary.org/asset/466063711","","","",""
465691531,38.6455061,-77.2361183,3,"https://macaulaylibrary.org/asset/465691531","","","",""
465398611,43.672317,-71.290802,4,"https://macaulaylibrary.org/asset/465398611","","","",""
465237631,41.0319425,-74.7411292,3,"https://macaulaylibrary.org/asset/465237631","","","",""
464956961,38.5687916,-92.231851,5,"https://macaulaylibrary.org/asset/464956961","","","",""
464955361,38.2012946,-90.545454,4.5,"https://macaulaylibrary.org/asset/464955361","","","",""
464648171,37.1053727,-84.7009828,3,"https://macaulaylibrary.org/asset/464648171","","","",""
464575711,41.7939856,-71.0306534,3,"https://macaulaylibrary.org/asset/464575711","","","",""
464542001,44.5336939,-70.1655915,5,"https://macaulaylibrary.org/asset/464542001","","","",""
463904451,41.4434217,-73.9734641,4.33,"https://macaulaylibrary.org/asset/463904451","","","",""
463620271,43.8806651,-70.8004395,3.67,"https://macaulaylibrary.org/asset/463620271","","","",""
463066761,44.7271596,-69.6292992,4,"https://macaulaylibrary.org/asset/463066761","","","",""
463066751,44.7271596,-69.6292992,5,"https://macaulaylibrary.org/asset/463066751","","","",""
463020721,41.016011,-74.745018,3,"https://macaulaylibrary.org/asset/463020721","","","",""
463018961,41.016011,-74.745018,3,"https://macaulaylibrary.org/asset/463018961","","","",""
463003141,41.6907325,-71.6984815,5,"https://macaulaylibrary.org/asset/463003141","","","",""
462953211,41.6588008,-87.922318,3.5,"https://macaulaylibrary.org/asset/462953211","","","",""
462807501,41.6822544,-71.2382505,3.5,"https://macaulaylibrary.org/asset/462807501","","","",""
462714931,41.3150397,-73.4295988,5,"https://macaulaylibrary.org/asset/462714931","","","",""
462639291,36.1521921,-86.9284072,4,"https://macaulaylibrary.org/asset/462639291","","","",""
462629081,41.355506,-70.67022,4,"https://macaulaylibrary.org/asset/462629081","","","",""
462625361,45.3526278,-80.1909256,3,"https://macaulaylibrary.org/asset/462625361","","","",""
462625331,45.3526278,-80.1909256,4,"https://macaulaylibrary.org/asset/462625331","","","",""
462509961,44.228787,-69.863112,4,"https://macaulaylibrary.org/asset/462509961","","","",""
462254751,41.6588008,-87.922318,4.5,"https://macaulaylibrary.org/asset/462254751","","","",""
462235471,44.1259168,-89.8781667,4,"https://macaulaylibrary.org/asset/462235471","","","",""
462200711,41.6588008,-87.922318,4,"https://macaulaylibrary.org/asset/462200711","","","",""
462154121,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/462154121","","","",""
462092301,41.6588008,-87.922318,4,"https://macaulaylibrary.org/asset/462092301","","","",""
462022671,41.6588008,-87.922318,5,"https://macaulaylibrary.org/asset/462022671","","","",""
462013931,41.6588008,-87.922318,3,"https://macaulaylibrary.org/asset/462013931","","","",""
