cat_num,Latitude,Longitude,link,measurement,measurement_units
145699761,24.814968,-80.82018,https://macaulaylibrary.org/asset/145699761,11,number of trills notes per song
334263991,24.5977,-81.58338,https://macaulaylibrary.org/asset/334263991,13,number of trills notes per song
54975241,25.137165,-80.9518576,https://macaulaylibrary.org/asset/54975241,13,number of trills notes per song
203918831,25.9496,-81.7505,https://macaulaylibrary.org/asset/203918831,11,number of trills notes per song
231615931,27.4522656,-82.6890434,https://macaulaylibrary.org/asset/231615931,12,number of trills notes per song
348057841,29.067911,-81.0009956,https://macaulaylibrary.org/asset/348057841,8,number of trills notes per song
219375101,30.5215893,-84.3238068,https://macaulaylibrary.org/asset/219375101,NA,number of trills notes per song
104461001,31.010598,-93.4009552,https://macaulaylibrary.org/asset/104461001,,number of trills notes per song
159605231,31.7756392,-109.3129241,https://macaulaylibrary.org/asset/159605231,15,number of trills notes per song
235445971,32.536681,-83.496094,https://macaulaylibrary.org/asset/235445971,,number of trills notes per song
27036131,32.6378571,-87.6886654,https://macaulaylibrary.org/asset/27036131,NA,number of trills notes per song
330613271,33.145627,-83.759007,https://macaulaylibrary.org/asset/330613271,NA,number of trills notes per song
350775831,33.8078217,-93.776722,https://macaulaylibrary.org/asset/350775831,NA,number of trills notes per song
224805541,34.351178,-84.1397381,https://macaulaylibrary.org/asset/224805541,12,number of trills notes per song
129977591,34.0890613,-78.2933807,https://macaulaylibrary.org/asset/129977591,,number of trills notes per song
102718241,35.9610348,-84.3664297,https://macaulaylibrary.org/asset/102718241,,number of trills notes per song
104806921,35.7277016,-82.7044773,https://macaulaylibrary.org/asset/104806921,13,number of trills notes per song
108191821,36.0272144,-84.2029738,https://macaulaylibrary.org/asset/108191821,,number of trills notes per song
218966461,36.2615078,-75.7911479,https://macaulaylibrary.org/asset/218966461,12,number of trills notes per song
164610321,37.1187833,-84.3478713,https://macaulaylibrary.org/asset/164610321,,number of trills notes per song
225602681,37.35873,-90.02369,https://macaulaylibrary.org/asset/225602681,25,number of trills notes per song
332129141,38.578658,-78.11374,https://macaulaylibrary.org/asset/332129141,24,number of trills notes per song
159502621,38.95569,-83.34254,https://macaulaylibrary.org/asset/159502621,NA,number of trills notes per song
55543541,39.2923646,-82.3599054,https://macaulaylibrary.org/asset/55543541,NA,number of trills notes per song
234526341,39.7194064,-77.9381753,https://macaulaylibrary.org/asset/234526341,29,number of trills notes per song
58997251,40.412125,-86.9550589,https://macaulaylibrary.org/asset/58997251,,number of trills notes per song
336312651,40.7022581,-74.6996035,https://macaulaylibrary.org/asset/336312651,11,number of trills notes per song
164439851,41.0020549,-72.0773506,https://macaulaylibrary.org/asset/164439851,,number of trills notes per song
162914431,41.9303792,-88.4138918,https://macaulaylibrary.org/asset/162914431,16,number of trills notes per song
340590901,42.7466592,-71.7079653,https://macaulaylibrary.org/asset/340590901,,number of trills notes per song
64515591,42.4339256,-76.3209647,https://macaulaylibrary.org/asset/64515591,11,number of trills notes per song
99982081,43.500809,-72.434608,https://macaulaylibrary.org/asset/99982081,11,number of trills notes per song
157002231,43.6282673,-79.329167,https://macaulaylibrary.org/asset/157002231,9,number of trills notes per song
345167731,44.5590717,-77.1170926,https://macaulaylibrary.org/asset/345167731,11,number of trills notes per song
242462561,44.1017468,-76.0739772,https://macaulaylibrary.org/asset/242462561,16,number of trills notes per song
160920281,45.3902529,-76.068821,https://macaulaylibrary.org/asset/160920281,19,number of trills notes per song
